RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,seasAdj
72811,33771,Florida,1363,6,6,2,4,7,7,1,7,2,7,6,7,7,4,7,8,16,3,5,11,7,11,12,2,12,6,10,8,6,7,6,4,6,8,4,5,7,8,10,14,9,12,12,11,7,13,1,2,7,11,6,10,11,13,4,17,8,6,6,6,9,14,11,7,10,8,16,7,7,9,12,7,14,7,11,11,11,18,13,10,11,12,9,11,4,4,10,13,18,18,12,12,9,17,12,8,18,11,20,12,22,20,15,14,15,17,8,10,15,18,18,16,22,21,15,16,16,16,16,8,17,19,15,14,17,,0
95042,85704,Arizona,1364,16,10,22,16,13,12,6,3,4,8,2,12,6,11,5,10,14,15,17,16,7,6,5,16,12,15,11,16,9,12,8,16,14,11,14,7,20,17,12,14,15,14,15,17,10,18,16,10,21,16,26,17,19,12,12,16,16,15,15,12,15,11,23,14,26,11,15,10,10,14,10,14,19,17,22,13,7,14,10,9,9,8,11,14,21,13,15,17,15,21,17,10,11,13,11,15,18,28,20,16,21,19,22,24,10,14,21,20,28,18,19,30,15,21,15,10,15,19,8,18,23,24,33,26,18,25,0
95081,85745,Arizona,1365,15,15,13,14,16,19,10,16,4,13,6,7,6,10,10,18,18,13,16,17,12,6,11,5,11,19,12,6,5,11,9,3,3,10,17,7,17,7,12,18,9,10,4,12,12,9,9,9,17,23,18,19,12,11,17,13,15,11,14,14,13,18,15,21,19,14,15,13,12,12,10,12,9,20,11,15,16,19,10,17,12,11,7,11,21,12,18,16,16,19,8,20,11,13,9,14,17,19,21,28,19,14,27,16,12,23,14,14,25,29,19,27,13,20,14,22,18,16,12,19,26,28,23,31,21,23,0
96238,90804,California,1366,2,4,0,2,5,1,3,2,0,2,0,1,2,5,1,1,2,2,4,2,6,3,1,1,2,4,6,3,6,3,3,3,1,6,1,0,2,2,2,3,2,5,2,6,6,2,1,4,9,6,5,6,5,2,1,4,3,2,3,2,4,2,6,6,6,4,12,6,4,7,3,5,2,2,3,2,0,6,3,4,0,6,2,2,2,6,2,7,5,7,8,5,2,3,2,1,12,9,7,7,7,7,2,5,5,4,2,7,6,2,3,4,3,4,4,5,3,5,4,8,6,2,2,10,6,8,0
72182,32738,Florida,1367,9,14,19,18,16,12,14,13,11,9,9,10,15,13,19,13,14,16,14,20,22,28,15,23,27,30,14,18,13,12,12,14,11,16,13,12,16,18,13,21,10,14,17,13,14,15,13,13,11,22,21,14,17,17,19,29,21,35,32,28,22,30,30,29,25,31,27,32,19,33,20,20,21,32,32,24,37,29,34,34,34,43,21,38,39,57,40,60,48,39,55,38,44,33,34,33,55,47,52,64,53,53,45,48,40,50,24,32,46,41,54,49,56,46,41,43,50,48,21,23,45,53,63,63,45,,0
93134,79925,Texas,1368,7,5,3,13,8,5,10,3,4,4,4,5,5,2,10,8,7,5,7,5,5,8,5,5,10,7,4,12,10,7,7,3,5,5,3,2,12,3,9,6,12,9,5,7,2,2,2,2,6,5,10,5,7,6,3,8,8,3,3,6,4,7,8,9,5,12,4,10,6,6,6,8,5,8,10,14,5,11,4,9,8,5,4,4,6,8,9,15,6,11,8,9,1,6,10,6,8,11,13,9,9,9,7,5,7,5,6,9,11,12,9,16,11,8,6,14,8,5,8,11,8,7,15,7,10,,0
72243,32818,Florida,1369,9,8,6,4,11,11,6,5,5,10,3,6,5,9,8,7,13,5,11,13,18,16,17,13,15,20,16,25,15,11,11,10,7,11,10,5,11,19,13,20,15,12,8,11,13,19,10,19,15,15,12,15,14,17,12,22,13,21,25,28,13,20,20,18,26,22,14,18,13,19,23,12,16,21,25,18,38,13,25,23,13,20,17,11,18,18,27,35,21,20,22,33,19,22,21,22,33,18,31,45,26,41,28,37,25,29,23,17,30,28,31,38,37,41,23,28,28,19,26,25,29,20,29,23,35,30,0
90652,75050,Texas,1370,3,2,7,5,4,7,15,7,9,7,3,4,6,5,2,2,7,5,7,7,12,6,2,2,3,8,6,6,5,9,2,1,4,2,2,0,4,5,2,3,0,3,3,5,1,4,3,3,2,5,5,5,3,4,3,8,5,5,3,4,5,8,6,6,8,9,5,6,8,6,4,4,6,6,11,8,6,9,6,9,13,10,3,8,7,10,15,11,13,9,3,8,8,10,10,9,17,10,15,18,17,10,13,7,9,13,10,10,9,10,16,9,10,13,10,18,7,9,12,9,5,7,10,11,8,,0
96229,90745,California,1371,6,2,6,5,3,4,4,4,3,4,8,3,4,4,2,7,7,9,4,4,8,5,2,5,10,3,12,15,4,12,8,7,14,10,9,5,7,8,6,11,10,8,4,7,6,5,4,5,8,5,7,14,9,12,8,11,12,10,14,4,13,12,16,9,11,11,11,12,12,10,10,6,11,8,3,5,7,7,5,7,9,5,4,7,11,5,7,11,9,13,5,7,11,5,0,4,18,17,9,14,10,11,11,14,11,9,9,8,5,9,8,15,14,13,14,9,6,13,9,1,10,8,12,13,13,19,0
74654,38116,Tennessee,1372,12,10,8,9,6,7,8,8,2,5,4,5,4,5,5,8,8,3,6,8,4,11,6,4,5,12,12,9,11,6,4,4,7,5,6,6,6,6,14,3,9,8,4,9,13,4,4,7,11,3,8,14,9,9,9,12,4,4,10,4,7,11,6,9,9,11,11,9,8,7,14,10,19,13,11,6,8,7,4,12,10,15,11,3,8,7,9,14,10,8,7,16,11,18,9,13,17,13,15,11,11,5,8,8,10,17,9,7,14,14,15,10,12,44,6,9,14,16,13,10,6,16,20,12,10,,0
